FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,LAT,LON
2642980,Thorne Bay Volunteer Fire Department,Building,AK,2,Prince of Wales-Hyder (CA),198,55.6880105,-132.5244409
1415362,Tonina Island,Island,AK,2,Prince of Wales-Hyder (CA),198,55.6902778,-133.6033333
1416452,Snip Islands,Island,AK,2,Ketchikan Gateway,130,55.6908333,-130.9588889
1421433,Desconocida Reef,Bar,AK,2,Prince of Wales-Hyder (CA),198,55.6913889,-133.5197222
1423135,Kogish Mountain,Summit,AK,2,Prince of Wales-Hyder (CA),198,55.6913889,-133.175
1897002,Tolstoi Bay (historical),Populated Place,AK,2,Prince of Wales-Hyder (CA),198,55.6916667,-132.55
1421180,Control Lake,Lake,AK,2,Prince of Wales-Hyder (CA),198,55.6917901,-132.8664352
1415635,Water Lake,Lake,AK,2,Prince of Wales-Hyder (CA),198,55.6919236,-132.5118461
1418652,Hag Peak,Summit,AK,2,Aleutians East,13,55.6919444,-159.5413889
1415288,Thorne Head,Cape,AK,2,Prince of Wales-Hyder (CA),198,55.6922222,-132.4652778
1421508,Dome Islets,Island,AK,2,Prince of Wales-Hyder (CA),198,55.6922222,-133.6291667
1421892,Feather Rock,Island,AK,2,Prince of Wales-Hyder (CA),198,55.69291,-133.68724
1420737,Bushtop Island,Island,AK,2,Prince of Wales-Hyder (CA),198,55.6944444,-133.5894444
1423548,Margaret Creek,Stream,AK,2,Ketchikan Gateway,130,55.6947222,-131.6261111
1424361,Point Desconocida,Cape,AK,2,Prince of Wales-Hyder (CA),198,55.6947222,-133.5302778
1415326,Timbered Island,Island,AK,2,Prince of Wales-Hyder (CA),198,55.6955306,-133.7979424
1415349,Tolstoi Island,Island,AK,2,Prince of Wales-Hyder (CA),198,55.6955556,-132.4263889
1419079,Portage Valley,Valley,AK,2,Aleutians East,13,55.6965457,-160.6790459
1418550,Elephant Point,Cape,AK,2,Aleutians East,13,55.6980556,-160.0552778
1419077,Portage Creek,Stream,AK,2,Aleutians East,13,55.6986111,-160.6808333
1420557,Bocas De Finas,Channel,AK,2,Prince of Wales-Hyder (CA),198,55.7,-133.5822222
1415483,Twocrack Island,Island,AK,2,Prince of Wales-Hyder (CA),198,55.7002778,-133.6127778
1416468,Three Islands,Island,AK,2,Wrangell,275,55.7022222,-132.2311111
1418137,American Bay,Bay,AK,2,Aleutians East,13,55.7022222,-160.1180556
1828888,Eagles Nest Campground,Locale,AK,2,Prince of Wales-Hyder (CA),198,55.7033333,-132.8441667
1414836,Snug Anchorage,Harbor,AK,2,Prince of Wales-Hyder (CA),198,55.7036111,-132.4677778
1418235,Black Hill,Summit,AK,2,Aleutians East,13,55.7041667,-162.0641667
1868001,Lee Rock,Pillar,AK,2,Wrangell,275,55.7041667,-132.2375
1893530,Bay Point,Cape,AK,2,Prince of Wales-Hyder (CA),198,55.7055556,-133.4916667
1418732,Island Bay,Bay,AK,2,Aleutians East,13,55.7061111,-159.6513889
